Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Long An,2018,Vùng đồng bằng sông Cửu Long,0.682285,1678.9,373.51,0.569,0.691,0.857,0.677,4.647407407407407
Long An,2019,Vùng đồng bằng sông Cửu Long,0.7012860000000001,1695.1,377.0,0.572,0.698,0.858,0.691,4.877964539007093
Long An,2020,Vùng đồng bằng sông Cửu Long,0.720287,1713.66,381.0,0.577,0.702,0.856,0.701,5.827070382279387
Tiền Giang,2018,Vùng đồng bằng sông Cửu Long,0.873451,1759.1,700.67,0.555,0.673,0.86,0.639,4.91086086086086
Tiền Giang,2019,Vùng đồng bằng sông Cửu Long,0.633589,1766.3,704.0,0.559,0.678,0.862,0.648,5.185467601870407
Tiền Giang,2020,Vùng đồng bằng sông Cửu Long,0.945724,1772.54,693.0,0.554,0.679,0.863,0.654,6.232426666666666
Bến Tre,2018,Vùng đồng bằng sông Cửu Long,0.884822,1286.0,537.0,0.542,0.65,0.855,0.592,5.638461862621155
Bến Tre,2019,Vùng đồng bằng sông Cửu Long,1.110825,1289.1,538.0,0.554,0.659,0.857,0.602,5.506224944320713
Bến Tre,2020,Vùng đồng bằng sông Cửu Long,1.292151,1292.4,543.0,0.557,0.664,0.856,0.615,6.013115370161593
Trà Vinh,2018,Vùng đồng bằng sông Cửu Long,0.6594405000000001,1008.8,427.77,0.522,0.658,0.838,0.65,4.411400911161731
Trà Vinh,2019,Vùng đồng bằng sông Cửu Long,0.770248,1009.3,428.0,0.538,0.669,0.84,0.662,4.928545732874091
Trà Vinh,2020,Vùng đồng bằng sông Cửu Long,0.671181,1009.94,422.0,0.536,0.673,0.843,0.675,5.632367709540364
Vĩnh Long,2018,Vùng đồng bằng sông Cửu Long,0.446658,1022.7,670.32,0.595,0.685,0.852,0.633,5.106301020408163
Vĩnh Long,2019,Vùng đồng bằng sông Cửu Long,0.639362,1022.6,670.0,0.604,0.694,0.854,0.65,5.576947546531303
Vĩnh Long,2020,Vùng đồng bằng sông Cửu Long,0.497794,1022.97,670.0,0.606,0.699,0.855,0.66,6.487096354166667
An Giang,2018,Vùng đồng bằng sông Cửu Long,0.698327,1931.0,545.99,0.516,0.636,0.826,0.604,5.652772211088845
An Giang,2019,Vùng đồng bằng sông Cửu Long,0.770919,1907.4,539.0,0.522,0.643,0.826,0.617,6.191069182389937
An Giang,2020,Vùng đồng bằng sông Cửu Long,0.706612,1904.53,538.0,0.531,0.651,0.827,0.628,7.18069464544139
Đồng Tháp,2018,Vùng đồng bằng sông Cửu Long,1.2675964999999998,1606.1,474.64,0.521,0.652,0.842,0.632,5.1328355647099215
Đồng Tháp,2019,Vùng đồng bằng sông Cửu Long,1.007791,1598.8,472.0,0.543,0.665,0.842,0.644,5.454917282646956
Đồng Tháp,2020,Vùng đồng bằng sông Cửu Long,1.085691,1600.01,473.0,0.546,0.67,0.844,0.652,6.246908846283215
Kiên Giang,2018,Vùng đồng bằng sông Cửu Long,0.695219,1718.1,270.62,0.512,0.65,0.837,0.642,4.2749443846429855
Kiên Giang,2019,Vùng đồng bằng sông Cửu Long,0.82049,1723.7,272.0,0.521,0.656,0.838,0.647,4.754119677790563
Kiên Giang,2020,Vùng đồng bằng sông Cửu Long,0.896287,1728.87,272.0,0.517,0.658,0.838,0.658,5.402222222222222
Hậu Giang,2018,Vùng đồng bằng sông Cửu Long,0.247006,734.9,453.17,0.528,0.654,0.852,0.622,4.691252242554718
Hậu Giang,2019,Vùng đồng bằng sông Cửu Long,0.263729,732.2,451.0,0.538,0.664,0.854,0.638,4.601301919720768
Hậu Giang,2020,Vùng đồng bằng sông Cửu Long,0.302857,729.78,450.0,0.553,0.674,0.854,0.648,5.48377211606511
Sóc Trăng,2018,Vùng đồng bằng sông Cửu Long,0.521417,1208.8,364.99,0.511,0.638,0.834,0.611,5.325909428359317
Sóc Trăng,2019,Vùng đồng bằng sông Cửu Long,0.532776,1199.5,362.0,0.503,0.64,0.834,0.624,5.991467844869907
Sóc Trăng,2020,Vùng đồng bằng sông Cửu Long,0.639128,1195.74,363.0,0.515,0.647,0.836,0.629,7.024940402794903
Bạc Liêu,2018,Vùng đồng bằng sông Cửu Long,0.472639,903.0,338.33,0.51,0.642,0.838,0.618,5.364063260340633
Bạc Liêu,2019,Vùng đồng bằng sông Cửu Long,0.880247,908.2,340.0,0.52,0.648,0.84,0.622,6.050452155625658
Bạc Liêu,2020,Vùng đồng bằng sông Cửu Long,0.277847,913.48,342.0,0.52,0.652,0.842,0.634,6.41368520620507
Cà Mau,2018,Vùng đồng bằng sông Cửu Long,2.211146,1195.6,228.99,0.535,0.659,0.845,0.633,4.631263858093126
Cà Mau,2019,Vùng đồng bằng sông Cửu Long,0.389737,1194.3,229.0,0.535,0.661,0.846,0.637,5.035920221169036
Cà Mau,2020,Vùng đồng bằng sông Cửu Long,0.427844,1193.89,226.0,0.542,0.668,0.851,0.647,5.9098098098098095
